OBJECTID,Site,Region,Plot,Date,RTK_Waypoint,Elevation_NAVD88m,Longitude,Latitude,Total_Rockweed_Cover____,Bare_Cover____,Ascophyllum_nodosum,Chondrus__crispus,Fucus__vesiculosus,Grassileria,Saccharina,Ulva,Vertebrata_lanosa,Green_Algae,Unknown,Canopy_Depth__cm_,Canopy_Length___cm_,Ascophyllum_Age__yrs_,Substrate,Hardened,Plot_1_Alive_Oysters,Plot_1_Dead_Oysters,Plot_1_Mean_Oyster_Height__mm_,Plot_2_Alive_Oysters,Plot_2_Dead_Oysters,Plot_2_Mean_Oyster_Height__mm_,Plot_2__Direction,Oyster_Density______m2_,Total_Oyster_Boxes_Found,Plot_1_Alive_Blue_Mussels,Plot_1_Dead_Blue_Mussels,Plot_1_Mean_Blue_Mussel_Height__mm_,Plot_2_Alive_Blue_Mussels,Plot_2_Dead_Blue_Mussels,Plot_2_Mean_Blue_Mussel_Height__mm_,Plot_2___1,Blue_Mussel_Density______m2_,Total_Blue_Mussel_Boxes_Found,Blue_Mussel_Plot_Height__mm_,Plot_1_Alive_Ribbed_Mussels,Plot_1_Dead_Ribbed_Mussels,Plot_1_Mean_Ribbed_Mussel_Height__mm_,Plot_2_Alive_Ribbed_Mussels,Plot_2_Dead_Ribbed_Mussels,Plot_2_Mean_Ribbed_Mussel_Height__mm_,Plot_2___2,Ribbed_Mussel_Density______m2_,Total_Ribbed_Mussel_Boxes_Found,RibbedMussel_Plot_Height__mm_,Notes,BAI_Extracted,Lidar_Extracted,NDWI_Extracted,RBR_Extracted
77,Great Bay Refuge North,Little Bay,2,11/7/2024,80,-0.598,-70.85826111,43.0926857,100,0,100,,,,,,,,,4,34,4,Boulder,No,2,0,70,,,,,5.714285714,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.175384611,-0.425754756,-0.175384611,0.01369863
78,Great Bay Refuge North,Little Bay,3,11/7/2024,81,-0.466,-70.85832977,43.09261703,97,3,92,,5,,,,,,,6,78,7,Boulder,No,4,0,47.5,,,,,11.42857143,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.267515928,-0.293919206,-0.267515928,0.024390243
79,Great Bay Refuge North,Little Bay,4,11/7/2024,82,0.223,-70.85825348,43.09260941,100,0,100,,,,,,,,,6,81,9,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,1,0,49,0,0,,East,1.428571429,0,49,,0.227642283,0.353472352,-0.227642283,0.089005239
80,Great Bay Refuge North,Little Bay,5,11/7/2024,83,-0.364,-70.85832977,43.09257889,100,0,98,,2,,,,,,,6,87,7,Boulder,No,0,0,,1,0,43,East,1.428571429,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.233644858,-0.174544632,-0.233644858,0.204678357
81,Wagon Hill Farm West,Oyster River,1,11/20/2024,46*,-0.407,-70.87734844,43.12671286,85,15,85,,,,,,,,,3,NA,NA,Mudflat - Sand,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,"* these RTK Waypoints were accidently taken in a different project folder called ""rockweed"". Other RTK points are in the folder ""ROCKWEED FIELD""",0.04262295,-0.11629153,-0.04262295,0.062801935
82,Wagon Hill Farm West,Oyster River,2,11/20/2024,47*,-0.444,-70.87739158,43.12670528,95,5,95,,,,,,,,,6,123,10,Boulder,No,2,2,69.5,,,,,5.714285714,2,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.115646258,-0.298939288,-0.115646258,0.089108914
83,Wagon Hill Farm West,Oyster River,3,11/20/2024,48*,-0.172,-70.87754699,43.12674094,95,5,95,,,,,,,,,10,61,6,Boulder,No,2,1,62.33333333,,,,,5.714285714,1,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.1171875,-0.060539655,-0.1171875,0.072368421
84,Wagon Hill Farm West,Oyster River,4,11/20/2024,49*,-0.481,-70.87755735,43.12684823,70,30,70,,,,,,,,,5,40,6,Boulder,No,2,0,69,,,,,5.714285714,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.145762712,-0.677850723,-0.145762712,0.091575094
85,Wagon Hill Farm West,Oyster River,5,11/20/2024,50*,-0.466,-70.87735901,43.12686382,60,40,60,,,,,,,,,5,63,7,Boulder,No,2,0,56.5,,,,,5.714285714,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.155555561,-0.481231123,-0.155555561,0.076305218
86,Wagon Hill Farm East,Oyster River,1,11/20/2024,51*,-0.176,-70.86863514,43.12452073,100,0,100,,,,,,,,,3,46,5,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.102310233,-0.323246807,-0.102310233,0.138461545
87,Wagon Hill Farm East,Oyster River,2,11/20/2024,52*,-0.722,-70.86849188,43.12452574,75,25,75,,,,,,,,,5,74,9,Boulder,No,6,3,62.77777778,,,,,17.14285714,3,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.180645168,-0.298199356,-0.180645168,0.084444441
88,Wagon Hill Farm East,Oyster River,3,11/20/2024,53*,-0.628,-70.86837658,43.12452651,95,5,95,,,,,,,,,5,52,7,Cobble,No,1,0,59,,,,,2.857142857,0,0,0,,,,,,0,0,,0,0,,,,,,0,0,,,0.133550495,-0.498409897,-0.133550495,0.127753302
89,Wagon Hill Farm East,Oyster River,4,11/20/2024,54*,-0.104,-70.86832747,43.12457776,100,0,100,,,,,,,,,6,107,9,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.133550495,0.007920359,-0.133550495,0.140562251
90,Wagon Hill Farm East,Oyster River,5,11/20/2024,55*,-0.246,-70.86824616,43.12465052,100,0,100,,,,,,,,,7,83,7,Gravel,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.136645958,-0.103608392,-0.136645958,0.064935066
91,Four Tree Island,Portsmouth Harbor & Seavey Island,1,11/21/2024,84,-0.202,-70.74863185,43.07701957,100,0,97,,3,,,,,,,7,78,6,Gravel,No,0,0,,0,0,,,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,,0,0,,,0.113402061,-0.228594556,-0.113402061,0.106666669
92,Four Tree Island,Portsmouth Harbor & Seavey Island,2,11/21/2024,85,-0.415,-70.74872595,43.07701088,100,0,100,,,,,,,,,10,128,14,Boulder,No,0,0,,0,0,,,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,,0,0,,,0.21714285,-0.57870096,-0.21714285,0.082872927
93,Four Tree Island,Portsmouth Harbor & Seavey Island,3,11/21/2024,86,-0.654,-70.74864554,43.07708909,100,0,100,,,,,,,,,7,29,4,Mudflat - Sand,No,0,0,,0,0,,,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,,0,0,,,-0.062730625,-0.663614094,0.062730625,0.067669176
94,Four Tree Island,Portsmouth Harbor & Seavey Island,4,11/21/2024,87,-0.335,-70.7485894,43.07715229,8,92,8,,,,,,,,,3,51,7,Boulder,No,0,0,,0,0,,,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,,0,0,,,0.004291845,-0.296647787,-0.004291845,0.037800688
95,Four Tree Island,Portsmouth Harbor & Seavey Island,5,11/21/2024,88,0.075,-70.74857855,43.07723628,97,3,97,,,,,,,,,6,60,5,Boulder,No,0,0,,0,0,,,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,,0,0,,,0.069767445,0.224624321,-0.069767445,0.041509435
96,Spur Road,Bellamy River,1,11/21/2024,89,-0.627,-70.84505261,43.12869866,90,10,90,,,,,,,,,9,102,10,Boulder,No,0,1,31,4,1,52,North,5.714285714,2,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.157894731,-0.103711136,-0.157894731,0.042145595
97,Spur Road,Bellamy River,2,11/21/2024,90,-0.517,-70.84520931,43.12873553,95,5,95,,,,,,,,,5,83,9,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,-0.104166664,-0.249518156,0.104166664,0.159817353
98,Spur Road,Bellamy River,3,11/21/2024,91,-0.586,-70.84533192,43.1287342,60,40,60,,,,,,,,,7,NA,NA,Mud,No,0,0,,0,1,50,North,0,1,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.03267974,0.029170293,-0.03267974,0.140684411
99,Spur Road,Bellamy River,4,11/21/2024,92,0.017,-70.84541517,43.12872332,90,10,90,,,,,,,,,6,76,9,Boulder,Yes,0,0,,1,0,61,North,1.428571429,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.095808387,0.208194554,-0.095808387,0.014285714
100,Spur Road,Bellamy River,5,11/21/2024,93,0.001,-70.84561002,43.12875917,80,20,80,,,,,,,,,8,75,12,Boulder,Yes,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,1,0,66,0,0,,North,1.428571429,0,66,,0.089820363,0.410759032,-0.089820363,0.039999999
101,Hislop Field,Piscataqua River,1,11/22/2024,56*,0.437,-70.77030182,43.09291077,75,25,75,,,,,,,,,11,114,14,Boulder,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.236111104,0.351983041,-0.236111104,-0.048192769
102,Hislop Field,Piscataqua River,2,11/22/2024,57*,0.805,-70.77038574,43.09291077,95,5,95,,,,,,,,,11,41,5,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.227722779,0.753485918,-0.227722779,-0.048780486
103,Hislop Field,Piscataqua River,3,11/22/2024,58*,0.076,-70.7703476,43.09295273,97,3,95,,2,,,,,,,13,105,13,Boulder,No,0,0,,0,0,,East,0,0,11,0,49.27272727,2,0,52,East,18.57142857,0,49.69230769,0,0,,0,0,,East,0,0,,,0.265017658,-0.285927057,-0.265017658,0.024390243
104,Hislop Field,Piscataqua River,4,11/22/2024,59*,-0.473,-70.77027893,43.09295273,65,35,65,,,,,,,,,9,91,9,Cobble,No,0,0,,0,0,,East,0,0,4,0,55.5,4,0,57.75,East,11.42857143,0,56.625,0,0,,0,0,,East,0,0,,,0.267080754,-0.463539869,-0.267080754,-0.093525179
105,Hislop Field,Piscataqua River,5,11/22/2024,60*,-0.282,-70.77018738,43.09290314,100,0,100,,,,,,,,,9,140,15,Gravel,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.204747781,-0.413939238,-0.204747781,-0.030075189
106,Patterson Lane,Piscataqua River,1,11/22/2024,61*,-0.075,-70.80393219,43.1096077,70,30,70,,,,,,,,,4,13,4,Boulder,Yes,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.157894731,-0.113119073,-0.157894731,0.010989011
107,Patterson Lane,Piscataqua River,2,11/22/2024,62*,0.235,-70.80380249,43.10964203,100,0,100,,,,,,,,,7,50,8,Boulder,Yes,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.270758122,-0.20676598,-0.270758122,0.025316456
108,Patterson Lane,Piscataqua River,3,11/22/2024,63*,-0.439,-70.80371857,43.10969543,100,0,100,,,,,,,,,5,166,17,Boulder,Yes,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.287356317,-0.575904489,-0.287356317,-0.035532996
109,Patterson Lane,Piscataqua River,4,11/22/2024,64*,0.006,-70.80365753,43.1096611,95,5,95,,,,,,,,,7,79,10,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.285714298,-0.074318886,-0.285714298,-0.025
110,Patterson Lane,Piscataqua River,5,11/22/2024,65*,-0.292,-70.80361938,43.10966873,100,0,100,,,,,,,,,6,137,15,Boulder,Yes,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,0.346666664,-0.41437009,-0.346666664,-0.010204081
111,Dead Duck Boat Ramp,Piscataqua River,1,12/6/2024,94,-0.827,-70.79918092,43.11431036,80,20,,,80,,,,,,,7,43,NA,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.32432431,-0.735457897,0.32432431,0.031111112
112,Dead Duck Boat Ramp,Piscataqua River,2,12/6/2024,95,-0.707,-70.79916844,43.11436486,40,60,,,40,,,,,,,7,31,NA,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.260273963,-0.610801399,0.260273963,0.015267176
113,Dead Duck Boat Ramp,Piscataqua River,3,12/6/2024,96,-0.237,-70.7991327,43.1144294,60,40,60,,,,,,,,,8,48,5,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.216494843,-0.26894632,0.216494843,0.098591551
114,Dead Duck Boat Ramp,Piscataqua River,4,12/6/2024,97,0.265,-70.79905224,43.11444032,95,5,95,,,,,,,,,6,64,5,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.035714287,0.22065939,0.035714287,0.229885057
115,Dead Duck Boat Ramp,Piscataqua River,5,12/6/2024,98,-0.986,-70.79920608,43.11437825,50,50,,,50,,,,,,,5,44,NA,Cobble,No,0,0,,0,0,,East,0,0,0,0,,0,0,,East,0,0,,0,0,,0,0,,East,0,0,,,-0.32432431,-1.133338094,0.32432431,0.020408163
116,Carters Rock,Little Bay,1,12/13/2024,99,0.236,-70.84266562,43.11272736,97,3,97,,,,,,,,,3,52,7,Gravel,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,-0.132420093,-0.013798204,0.132420093,0.02631579
117,Carters Rock,Little Bay,2,12/13/2024,100,-0.267,-70.84259818,43.11274743,45,55,40,,5,,,,,,,4,95,9,Gravel,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.142857149,-0.381662428,-0.142857149,-0.007633588
118,Carters Rock,Little Bay,3,12/13/2024,101,-0.133,-70.8425341,43.11273729,100,0,100,,,,,,,,,12,60,10,Boulder,No,0,0,,2,0,33,North,2.857142857,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.222222224,-0.46422103,-0.222222224,-0.042801555
119,Carters Rock,Little Bay,4,12/13/2024,102,-0.459,-70.84243002,43.11273427,98,0,98,,,,,,,,2,5,116,13,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.195402294,-0.402581483,-0.195402294,0.044247787
120,Carters Rock,Little Bay,5,12/13/2024,103,-0.37,-70.84232042,43.11272009,95,5,95,,,,,,,,,5,72,10,Boulder,No,0,0,,0,0,,North,0,0,0,0,,0,0,,North,0,0,,0,0,,0,0,,North,0,0,,,0.109756097,-0.503584564,-0.109756097,0.149758458
